id,timestamp,port,pps,bps,conf,action,attack_type,note
303,2026-05-15 14:21:15.511605,1,42165.7,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
302,2026-05-15 14:21:15.466587,1,42165.7,2223.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
301,2026-05-15 14:12:23.78635,1,52084.4,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
300,2026-05-15 14:12:23.752951,1,52084.4,2746.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
299,2026-05-15 14:06:25.601582,1,44086.9,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
298,2026-05-15 14:06:25.546821,1,44086.9,2324.9,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
297,2026-05-15 14:05:17.566269,1,42615.8,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
296,2026-05-15 14:05:17.518982,1,42615.8,2247.3,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
295,2026-05-15 14:04:09.547999,1,46026.0,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
294,2026-05-15 14:04:09.508285,1,46026.0,2427.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
293,2026-05-15 14:00:15.401902,1,41024.8,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
292,2026-05-15 14:00:15.358399,1,41024.8,2163.4,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
291,2026-05-15 13:58:43.0372,1,46963.2,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
290,2026-05-15 13:58:43.003284,1,46963.2,2476.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
289,2026-05-15 13:49:29.511317,4,38739.4,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
288,2026-05-15 13:49:29.483914,4,38739.4,2042.9,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
287,2026-05-15 13:47:43.499064,1,100581.3,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
286,2026-05-15 13:47:43.475065,1,100581.3,5304.1,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
285,2026-05-15 13:47:43.377042,4,100538.2,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
284,2026-05-15 13:47:43.351022,4,100538.2,5301.8,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
283,2026-05-15 13:40:55.391793,1,87100.2,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
282,2026-05-15 13:40:55.325609,1,87100.2,4593.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
281,2026-05-15 13:40:55.145274,4,87149.2,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
280,2026-05-15 13:40:55.081393,4,87149.2,4595.7,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
279,2026-05-15 13:38:52.294915,1,90165.6,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
278,2026-05-15 13:38:52.261557,1,90165.6,4754.8,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
277,2026-05-15 13:38:52.186403,4,90199.6,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
276,2026-05-15 13:38:52.14977,4,90199.6,4756.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
275,2026-05-15 13:37:26.227153,1,88934.7,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
274,2026-05-15 13:37:26.198954,1,88934.7,4689.9,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
273,2026-05-15 13:37:26.123811,4,88973.6,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
272,2026-05-15 13:37:26.096057,4,88973.6,4692.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
271,2026-05-15 13:36:20.225674,1,77493.6,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
270,2026-05-15 13:36:20.180511,1,77493.6,4086.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
269,2026-05-15 13:36:20.109827,4,77532.1,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
268,2026-05-15 13:36:20.061529,4,77532.1,4088.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
267,2026-05-15 13:35:14.20296,1,81773.1,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
266,2026-05-15 13:35:14.157734,1,81773.1,4312.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
265,2026-05-15 13:35:14.079828,4,81777.6,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
264,2026-05-15 13:35:14.032821,4,81777.6,4312.5,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
263,2026-05-15 13:34:08.226819,1,79714.2,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
262,2026-05-15 13:34:08.180245,1,79714.2,4203.7,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
261,2026-05-15 13:34:08.108371,4,79665.3,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
260,2026-05-15 13:34:08.061505,4,79665.3,4201.1,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
259,2026-05-15 13:33:02.136013,1,95938.3,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
258,2026-05-15 13:33:02.086917,1,95938.3,5059.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
257,2026-05-15 13:33:02.008849,4,96008.3,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
256,2026-05-15 13:33:01.961199,4,96008.3,5062.9,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
255,2026-05-15 13:31:56.039243,1,90739.1,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
254,2026-05-15 13:31:55.989836,1,90739.1,4785.1,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
253,2026-05-15 13:31:55.913852,4,90726.6,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
252,2026-05-15 13:31:55.891898,4,90726.6,4784.4,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
251,2026-05-15 13:29:45.983132,4,53801.3,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
250,2026-05-15 13:29:45.957807,4,53801.3,2837.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
249,2026-05-15 13:20:39.539444,4,54104.9,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
248,2026-05-15 13:20:39.513376,4,54104.9,2853.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
247,2026-05-15 12:56:18.540224,4,53424.3,0.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
246,2026-05-15 12:56:18.514303,4,53424.3,2817.3,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
245,2026-05-15 11:12:31.626677,4,53269.9,0.0,99.0,BLOCK,DDoS-Fallback,DDoS-Fallback
244,2026-05-15 11:12:31.595397,4,53269.9,2809.2,99.0,BLOCK,DDoS-Fallback,DDoS-Fallback
243,2026-05-15 11:11:01.609576,1,47934.3,0.0,99.0,BLOCK,DDoS-Fallback,DDoS-Fallback
242,2026-05-15 11:11:01.582765,1,47934.3,2527.8,99.0,BLOCK,DDoS-Fallback,DDoS-Fallback
241,2026-05-14 21:40:22.224111,1,844962.4,44558.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
240,2026-05-14 21:40:22.082074,4,845213.6,44571.8,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
239,2026-05-14 21:38:08.442494,1,87787.3,4629.4,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
238,2026-05-14 21:38:08.31526,4,87829.8,4631.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
237,2026-05-14 21:17:42.697778,1,87883.3,4634.5,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
236,2026-05-14 21:17:42.541848,4,87905.3,4635.6,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
235,2026-05-14 21:15:10.560631,1,94670.9,4992.4,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
234,2026-05-14 21:15:10.402358,4,94735.9,4995.8,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
233,2026-05-14 19:58:45.371589,1,77953.5,4110.8,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
232,2026-05-14 19:58:45.232482,4,78032.0,4115.0,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
231,2026-05-14 19:55:49.366933,1,80159.5,4227.2,99.0,BLOCK,DDoS-Anomaly,DDoS-Anomaly
